Restoran Adı,Sipariş No,Restoran ID,Teslimat Tipi,Ödeme Yöntemi,Ödeme Yöntemi.1,Sipariş Durumu,Siparişin Alındığı Tarih,Kabul Edilme Zamanı,Tahmini Teslim Alınmaya Hazır Olma Süresi,Teslim Alınmaya Hazır Olma Süresi,Kuryenin Teslim Almaya Yakın Olma Zamanı,Sipariş Teslim Tarihi,Tahmini Teslimat Zamanı,Teslimat zamanı,İptal Edilme Zamanı,İptal Sebebi,İptal Kaynağı,Toplam,Paketleme ücreti,Minimum gönderim tutarı,Unnamed: 21,KDV Bedeli,Sipariş İletim Hizmeti Bedeli,Restoran İndirimi,Restoran Kuponu,Komisyon,Unnamed: 27,Unnamed: 28,Faturalandırılabilir,Ödeme Yapıldı,Tahmini Kazanç,İşletme tarafından tahsil edilmiş nakit tutar,Yemeksepeti'ne geri ödenecek tutar,Ödeme Tutarı,Yemeksepeti İndirimi,Yemeksepeti Tarafından Karşılanan Kupon,Toplam İndirim,Toplam Kupon,Vergi Tutarı,Ürünler
Arthur's Pizza,vz11-0fhb,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,05/12/2024 21:06,05/12/2024 21:06,05/12/2024 21:17,,05/12/2024 21:17,05/12/2024 21:21,05/12/2024 21:34,05/12/2024 21:33,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-0qyc,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,12/12/2024 17:18,12/12/2024 17:18,12/12/2024 17:30,,12/12/2024 17:25,12/12/2024 17:37,12/12/2024 17:36,12/12/2024 17:44,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-17q5,vz11,Yemeksepeti Teslimatlı,,,İptal Edildi,22/11/2024 18:45,22/11/2024 18:45,22/11/2024 19:00,,22/11/2024 18:58,22/11/2024 19:00,22/11/2024 19:20,,22/11/2024 19:17,Yanlış ürün teslimatı,İpt. Kaynağı:Lojistik,"680,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",hayır,,"0,00","0,00","0,00","0,00","0,00","0,00","150,00","0,00","0,00","1 Roma, 1 Torino"
Arthur's Pizza,vz11-1c3r,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,27/11/2024 17:00,27/11/2024 17:00,27/11/2024 17:11,,27/11/2024 17:05,27/11/2024 17:13,27/11/2024 17:22,27/11/2024 17:20,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Torino
Arthur's Pizza,vz11-1l7c,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,24/11/2024 16:44,24/11/2024 16:44,24/11/2024 16:56,,24/11/2024 16:55,24/11/2024 16:58,24/11/2024 17:10,24/11/2024 17:11,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Roma
Arthur's Pizza,vz11-1npv,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,07/12/2024 22:25,07/12/2024 22:25,07/12/2024 22:37,,07/12/2024 22:33,07/12/2024 22:37,07/12/2024 22:47,07/12/2024 22:45,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-1o8n,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,14/12/2024 19:00,14/12/2024 19:00,14/12/2024 19:12,14/12/2024 19:23,14/12/2024 19:14,14/12/2024 19:23,14/12/2024 19:23,14/12/2024 19:33,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Torino
Arthur's Pizza,vz11-1qv6,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,29/11/2024 19:39,29/11/2024 19:39,29/11/2024 19:51,,29/11/2024 19:47,29/11/2024 19:50,29/11/2024 19:55,29/11/2024 20:07,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
Arthur's Pizza,vz11-20e0,vz11,Yemeksepeti Teslimatlı,Kapıda Ödeme,YEMEKPAY_CARDPAYMENT,Teslim Edildi,21/11/2024 19:07,21/11/2024 19:07,21/11/2024 19:19,21/11/2024 19:07,21/11/2024 19:41,21/11/2024 19:42,21/11/2024 19:49,21/11/2024 19:53,,,,"340,00","0,00","0,00","0,00","17,41","32,64","68,00","0,00","54,40","0,00","0,00",evet,,"167,55","0,00","0,00","167,55","0,00","0,00","68,00","0,00","0,00",1 Milano
Arthur's Pizza,vz11-3ad4,vz11,Yemeksepeti Teslimatlı,Online,YEMEKPAY_CREDITCARD,Teslim Edildi,04/12/2024 19:27,04/12/2024 19:27,04/12/2024 19:39,,04/12/2024 19:39,04/12/2024 19:48,04/12/2024 19:53,04/12/2024 19:58,,,,"340,00","0,00","0,00","0,00","22,55","20,40","0,00","100,00","34,00","0,00","58,33",evet,,"104,72","0,00","0,00","104,72","0,00","0,00","0,00","100,00","0,00",1 Roma
